frag_id,ion_type,series,frag_len,charge,H2O,NH3,CO,CO2,2H2O,2NH3,variant_type,variant_suffix,variant_pass_count,%H,%2H,obs_idx,obs_mz,obs_int,obs_rel_int,anchor_theory_mz,anchor_ppm,css,rawcos,cos0,w0,w_plusH,w_plus2H,w_minusH,w_minus2H,label
y34-ThiylRadical-NH3,y,y,34,2,0,1,0,0,0,0,cys-specific,-ThiylRadical,1,0.0,0.0,19122,1771.8612774581484,472.5,0.00013872577803875514,1771.859454,1.0291212118141577,0.996675743560044,0.9965351249332678,0.9965351249332678,1.0,0.0,0.0,0.0,0.0,y34-ThiylRadical-NH3^2+ | 1.0 ppm | css=0.997
c7-OxidizedLoop,c,c,7,1,0,0,0,0,0,0,ss-specific,-OxidizedLoop,1,0.0,0.0,1756,737.3087027004689,4114.0,0.001207868467410452,737.306906,2.4368420453183606,0.9963543251055943,0.9966499447534046,0.9966499447534046,1.0,0.0,0.0,0.0,0.0,c7-OxidizedLoop^1+ | 2.4 ppm | css=0.996
z-dot27,z-dot,z,27,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,35144,2867.4552580706204,156.4,4.5918966529653557e-05,2867.438956,5.68523719967228,0.9937121855713675,0.9937956562731587,0.9937956562731587,1.0,0.0,0.0,0.0,0.0,z-dot27^1+ | 5.7 ppm | css=0.994
c9-OxidizedLoop,c,c,9,1,0,0,0,0,0,0,ss-specific,-OxidizedLoop,1,0.0,0.0,2591,909.3937340875517,2289.0,0.0006720493247210804,909.391699,2.237855869948605,0.9934608783674028,0.9942443223512166,0.9942443223512166,1.0,0.0,0.0,0.0,0.0,c9-OxidizedLoop^1+ | 2.2 ppm | css=0.993
c6-Persulfide,c,c,6,1,0,0,0,0,0,0,cys-specific,-Persulfide,1,100.0,0.0,1559,667.2784966587564,1013.0,0.0002974163241338814,667.278166,0.49553360674092956,0.9929880624229599,0.6909859255640234,0.9864950522269024,0.0,0.0,0.0,1.0,0.0,c6-Persulfide^1+ | 0.5 ppm | css=0.993 | %H=100 | %2H=0 | -mix
c19-OxidizedLoop-CO,c,c,19,2,0,0,1,0,0,0,ss-specific,-OxidizedLoop,1,0.0,0.0,2328,859.9386839852472,12.75,3.743394010569583e-06,859.936862,2.118743046913943,0.9915816231147931,0.7644941156064773,0.7644941156064773,1.0,0.0,0.0,0.0,0.0,c19-OxidizedLoop-CO^2+ | 2.1 ppm | css=0.992
c10-OxidizedLoop,c,c,10,1,0,0,0,0,0,0,ss-specific,-OxidizedLoop,1,0.0,0.0,3739,1037.454013426137,26940.0,0.007909571344685848,1037.450276,3.6025111018644087,0.9904891204282148,0.9918557561150833,0.9918557561150833,1.0,0.0,0.0,0.0,0.0,c10-OxidizedLoop^1+ | 3.6 ppm | css=0.990
y6,y,y,6,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,1473,639.3108517711679,128.4,3.769817968291251e-05,639.309666,1.8547680896651704,0.9882219408822072,0.9961658730655045,0.9961658730655045,1.0,0.0,0.0,0.0,0.0,y6^1+ | 1.9 ppm | css=0.988
c11-OxidizedLoop,c,c,11,1,0,0,0,0,0,0,ss-specific,-OxidizedLoop,1,0.0,0.0,5607,1193.5542336323665,822.2,0.00024139753376394599,1193.551387,2.385010312527957,0.9792515243710525,0.9832266494658961,0.9832266494658961,1.0,0.0,0.0,0.0,0.0,c11-OxidizedLoop^1+ | 2.4 ppm | css=0.979
c36-OxidizedLoop,c,c,36,2,0,0,0,0,0,0,ss-specific,-OxidizedLoop,1,0.0,0.0,20939,1870.9168695728279,758.1,0.0002225778038755138,1870.910689,3.303510351485261,0.978815224917475,0.978834840739552,0.978834840739552,1.0,0.0,0.0,0.0,0.0,c36-OxidizedLoop^2+ | 3.3 ppm | css=0.979
c33-OxidizedLoop,c,c,33,2,0,0,0,0,0,0,ss-specific,-OxidizedLoop,1,0.0,0.0,18152,1719.853869277115,408.8,0.00012002348796241926,1719.849372,2.614924997749215,0.9769939033500794,0.9758047912811967,0.9758047912811967,1.0,0.0,0.0,0.0,0.0,c33-OxidizedLoop^2+ | 2.6 ppm | css=0.977
c10-OxidizedLoop-CO2,c,c,10,1,0,0,0,1,0,0,ss-specific,-OxidizedLoop,1,0.0,100.0,3334,996.49609084971,194.7,5.716382853787434e-05,996.4783,17.853725173912885,0.9759044769818007,0.5779916426390074,0.41120369699446374,0.0,0.0,1.0,0.0,0.0,c10-OxidizedLoop-CO2^1+ | 17.9 ppm | css=0.976 | %H=0 | %2H=100 | +mix
c5-ThiylRadical,c,c,5,1,0,0,0,0,0,0,cys-specific,-ThiylRadical,2,100.0,0.0,1124,535.2671370159677,143.8,4.221961244862009e-05,535.265144,3.7234181789754,0.9745226731977602,0.5559042984038965,0.46255440955531685,0.0,1.0,0.0,0.0,0.0,c5-ThiylRadical^1+ | 3.7 ppm | css=0.975 | %H=100 | %2H=0 | +mix
z-dot35,z-dot,z,35,2,0,0,0,0,0,0,cys-specific,-Thiol,2,0.0,100.0,20075,1828.8937062280288,191.1,5.610687022900763e-05,1828.881466,6.692739937667886,0.9739962857534274,0.5669380579101824,0.7637375247911171,0.0,0.0,0.0,0.0,1.0,z-dot35^2+ | 6.7 ppm | css=0.974 | %H=0 | %2H=100 | -mix
c14-OxidizedLoop,c,c,14,1,0,0,0,0,0,0,ss-specific,-OxidizedLoop,1,0.0,0.0,12733,1491.7167546090393,2687.0,0.0007889019377568996,1491.715492,0.8464141091448003,0.9725938265025934,0.9929357257817252,0.9929357257817252,1.0,0.0,0.0,0.0,0.0,c14-OxidizedLoop^1+ | 0.8 ppm | css=0.973
z-dot34-H2O,z-dot,z,34,2,1,0,0,0,0,0,cys-specific,-Thiol,2,0.0,100.0,18975,1762.8647776993553,951.1,0.00027924251321197885,1762.85472,5.705347832196567,0.9724119263868735,0.5628281042759194,0.7404140671492132,0.0,0.0,0.0,0.0,1.0,z-dot34-H2O^2+ | 5.7 ppm | css=0.972 | %H=0 | %2H=100 | -mix
z-dot31-ThiylRadical-CO,z-dot,z,31,1,0,0,1,0,0,0,cys-specific,-ThiylRadical,1,0.0,100.0,35324,2909.4027256244067,74.14,2.1767469172049325e-05,2909.401656,0.3676441183279933,0.9721862062731172,0.604398417904767,0.608266971352945,0.0,0.0,0.0,0.0,1.0,z-dot31-ThiylRadical-CO^1+ | 0.4 ppm | css=0.972 | %H=0 | %2H=100 | -mix
c35-OxidizedLoop,c,c,35,2,0,0,0,0,0,0,ss-specific,-OxidizedLoop,1,0.0,0.0,19906,1820.3921789467954,688.6,0.00020217263652378157,1820.38685,2.9273705175997997,0.9692824267556364,0.9696814028832401,0.9696814028832401,1.0,0.0,0.0,0.0,0.0,c35-OxidizedLoop^2+ | 2.9 ppm | css=0.969
c19-OxidizedLoop-CO2,c,c,19,2,0,0,0,1,0,0,ss-specific,-OxidizedLoop,1,0.0,100.0,3522,1018.0244937847895,21.47,6.303581914268937e-06,1018.032962,-8.31821318821063,0.9678740485279361,0.3142413564157198,0.3658246205182583,0.0,0.0,1.0,0.0,0.0,c19-OxidizedLoop-CO2^2+ | -8.3 ppm | css=0.968 | %H=0 | %2H=100 | +mix
c8-OxidizedLoop,c,c,8,1,0,0,0,0,0,0,ss-specific,-OxidizedLoop,1,0.0,0.0,2084,808.3441528466067,459.0,0.000134762184380505,808.34402,0.16434414480511633,0.9665544831372992,0.9882320127927986,0.9882320127927986,1.0,0.0,0.0,0.0,0.0,c8-OxidizedLoop^1+ | 0.2 ppm | css=0.967
z-dot35-H2O,z-dot,z,35,2,1,0,0,0,0,0,cys-specific,-Thiol,2,0.0,100.0,19898,1819.885707108646,961.7,0.00028235466823253085,1819.876184,5.232833271769092,0.9628940603873644,0.5214495323918772,0.8934467711945393,0.0,0.0,0.0,0.0,1.0,z-dot35-H2O^2+ | 5.2 ppm | css=0.963 | %H=0 | %2H=100 | -mix
c36-OxidizedLoop-CO,c,c,36,2,0,0,1,0,0,0,ss-specific,-OxidizedLoop,1,0.0,100.0,17598,1690.335410620947,272.3,7.994715208455667e-05,1690.318024,10.286005769430366,0.9623671793012667,0.6207862262372865,0.8178369235942913,0.0,0.0,0.0,0.0,1.0,c36-OxidizedLoop-CO^2+ | 10.3 ppm | css=0.962 | %H=0 | %2H=100 | -mix
