model_name,feature,direction_hint,importance_type,importance,abs_importance
logistic_regression,fragments_css,higher,coefficient,-0.8419993470792826,0.8419993470792826
logistic_regression,fragments_correlation,higher,coefficient,-0.7989603357673833,0.7989603357673833
logistic_regression,diagnose_area_covered,higher,coefficient,0.6771619363098581,0.6771619363098581
logistic_regression,fragments_abs_anchor_ppm,lower,coefficient,-0.573177811508023,0.573177811508023
logistic_regression,fragments_fit_score,higher,coefficient,0.5711933256340488,0.5711933256340488
logistic_regression,diagnose_raw_cosine,higher,coefficient,-0.4650230133977746,0.4650230133977746
logistic_regression,diagnose_top_peaks,higher,coefficient,0.39332941401043525,0.39332941401043525
logistic_regression,diagnose_isodec_css,higher,coefficient,0.2580015250445758,0.2580015250445758
logistic_regression,fragments_pc_missing_peaks,lower,coefficient,0.11184049592515403,0.11184049592515403
logistic_regression,fragments_match_count,higher,coefficient,0.040320478505048156,0.040320478505048156
logistic_regression,fragments_rawcos,higher,coefficient,-0.03203763495029977,0.03203763495029977
logistic_regression,diagnose_matched_peaks,higher,coefficient,-0.019047507012010224,0.019047507012010224
random_forest,fragments_correlation,higher,feature_importance,0.17280438884382554,0.17280438884382554
random_forest,fragments_abs_anchor_ppm,lower,feature_importance,0.14986407967813203,0.14986407967813203
random_forest,fragments_css,higher,feature_importance,0.12214697326233048,0.12214697326233048
random_forest,diagnose_area_covered,higher,feature_importance,0.1120177515169628,0.1120177515169628
random_forest,diagnose_raw_cosine,higher,feature_importance,0.083732983498273,0.083732983498273
random_forest,fragments_fit_score,higher,feature_importance,0.08345239057200966,0.08345239057200966
random_forest,fragments_rawcos,higher,feature_importance,0.06777876188780065,0.06777876188780065
random_forest,diagnose_isodec_css,higher,feature_importance,0.06129093012291216,0.06129093012291216
random_forest,fragments_pc_missing_peaks,lower,feature_importance,0.051521058643870576,0.051521058643870576
random_forest,fragments_match_count,higher,feature_importance,0.037560707759109316,0.037560707759109316
random_forest,diagnose_top_peaks,higher,feature_importance,0.031921319916992444,0.031921319916992444
random_forest,diagnose_matched_peaks,higher,feature_importance,0.025908654297781122,0.025908654297781122
