features,feature_count,cv_auc
"fragments_correlation, fragments_pc_missing_peaks, diagnose_isodec_css, diagnose_top_peaks",4,0.8658476658476658
"fragments_correlation, fragments_pc_missing_peaks, diagnose_raw_cosine, diagnose_top_peaks",4,0.8657248157248157
"fragments_correlation, fragments_pc_missing_peaks, diagnose_isodec_css",3,0.8605241605241605
"fragments_correlation, fragments_rawcos, fragments_pc_missing_peaks, diagnose_isodec_css",4,0.8605241605241605
"fragments_correlation, fragments_pc_missing_peaks, fragments_css, diagnose_isodec_css",4,0.8604832104832105
"fragments_fit_score, fragments_correlation, fragments_pc_missing_peaks, diagnose_isodec_css",4,0.8604832104832105
"fragments_correlation, fragments_pc_missing_peaks, fragments_unexplained, diagnose_isodec_css",4,0.8597051597051597
"fragments_correlation, fragments_pc_missing_peaks, diagnose_isodec_css, diagnose_final_cosine",4,0.8595004095004095
"fragments_correlation, fragments_pc_missing_peaks, fragments_coverage, diagnose_isodec_css",4,0.858968058968059
"fragments_correlation, fragments_pc_missing_peaks, diagnose_isodec_css, diagnose_area_covered",4,0.8588861588861589
"fragments_correlation, fragments_pc_missing_peaks, diagnose_raw_cosine, diagnose_isodec_css",4,0.8584766584766584
"fragments_score, fragments_correlation, fragments_pc_missing_peaks, diagnose_isodec_css",4,0.8579033579033579
"fragments_correlation, fragments_pc_missing_peaks, diagnose_raw_cosine",3,0.8564291564291564
"fragments_correlation, fragments_pc_missing_peaks, fragments_css, diagnose_raw_cosine",4,0.8564291564291564
"fragments_correlation, fragments_rawcos, fragments_pc_missing_peaks, diagnose_raw_cosine",4,0.8564291564291564
"fragments_correlation, fragments_pc_missing_peaks, fragments_unexplained, diagnose_raw_cosine",4,0.8558149058149058
"fragments_correlation, fragments_pc_missing_peaks, fragments_coverage, diagnose_raw_cosine",4,0.8554463554463555
"fragments_fit_score, fragments_correlation, fragments_pc_missing_peaks, diagnose_raw_cosine",4,0.855036855036855
"fragments_correlation, fragments_pc_missing_peaks, diagnose_raw_cosine, diagnose_area_covered",4,0.8544635544635545
"fragments_correlation, fragments_pc_missing_peaks, diagnose_raw_cosine, diagnose_final_cosine",4,0.8541359541359541
"fragments_score, fragments_correlation, fragments_pc_missing_peaks, diagnose_raw_cosine",4,0.8533988533988534
"fragments_fit_score, fragments_pc_missing_peaks, diagnose_isodec_css, diagnose_top_peaks",4,0.8516380016380016
"fragments_fit_score, fragments_correlation, fragments_pc_missing_peaks, diagnose_top_peaks",4,0.8513308763308763
"fragments_fit_score, fragments_pc_missing_peaks, diagnose_isodec_css, diagnose_area_covered",4,0.8503685503685504
