feature,direction,threshold,precision,recall,specificity,f1,balanced_accuracy
diagnose_final_cosine,>=,0.8072380238313257,0.7246376811594203,0.9202453987730062,0.41836734693877553,0.8108108108108107,0.6693063728558908
fragments_fit_score,>=,0.6056103460290946,0.7727272727272727,0.85,0.6850393700787402,0.8095238095238095,0.7675196850393701
diagnose_raw_cosine,>=,0.8062651888136204,0.7232142857142857,0.8756756756756757,0.5303030303030303,0.7921760391198044,0.702989352989353
diagnose_isodec_css,>=,0.8072380238313257,0.7348837209302326,0.8586956521739131,0.5615384615384615,0.7919799498746868,0.7101170568561873
fragments_coverage,>=,0.831410132902322,0.6908212560386473,0.89375,0.49606299212598426,0.779291553133515,0.6949064960629922
fragments_pc_missing_peaks,<=,52.94117647058824,0.6538461538461539,0.95625,0.36220472440944884,0.7766497461928934,0.6592273622047244
fragments_score,>=,0.4612054395997277,0.6636771300448431,0.925,0.4094488188976378,0.772845953002611,0.6672244094488189
fragments_correlation,>=,0.8452132535239769,0.8440366972477065,0.6917293233082706,0.860655737704918,0.7603305785123967,0.7761925305065943
fragments_css,>=,0.8169120057983098,0.6842105263157895,0.8524590163934426,0.45454545454545453,0.7591240875912408,0.6535022354694485
fragments_rawcos,>=,0.4955688752544084,0.6254545454545455,0.9297297297297298,0.2196969696969697,0.7478260869565218,0.5747133497133498
