feature,group,expected_direction,best_direction,n,pos_mean,neg_mean,pos_median,neg_median,spearman_rho,spearman_p,auc_higher_is_more_true,auc_best_direction,delta_mean
fragments_fit_score,fragments,higher,higher,287,0.7485606543329044,0.5127607957557461,0.7891518695317511,0.4966983972756261,0.5839112177094341,1.260556043203998e-27,0.8393700787401575,0.8393700787401575,0.23579985857715835
fragments_score,fragments,higher,higher,287,0.6549249040970334,0.4778690668998916,0.6572761331841265,0.4998429317721675,0.5363244175771338,8.920388465929057e-23,0.8117125984251968,0.8117125984251968,0.1770558371971418
fragments_correlation,fragments,higher,higher,255,0.8597000426093203,0.6446642829842861,0.949608023309019,0.685901340816462,0.534087441899093,3.3015525369234636e-20,0.8086404535929989,0.8086404535929989,0.21503575962503418
diagnose_raw_cosine,diagnose,higher,higher,317,0.9037174418024082,0.7704269831721883,0.9394477798761202,0.7951910418130045,0.5130731074938822,1.1015029376954177e-22,0.8004504504504505,0.8004504504504505,0.13329045863021993
diagnose_isodec_css,diagnose,higher,higher,314,0.8921992783322124,0.7594561069068747,0.9212484505829261,0.7934095364806801,0.4841283587913177,7.433506818037655e-20,0.7837374581939799,0.7837374581939799,0.13274317142533765
diagnose_final_cosine,diagnose,higher,higher,261,0.9133918296489519,0.8331180649202655,0.9283460227510364,0.8315814849435339,0.4578602621536059,6.261658075631688e-15,0.7729435332415174,0.7729435332415174,0.08027376472868641
fragments_coverage,fragments,higher,higher,287,0.9360773447638057,0.788351491067763,0.9902952053657548,0.8487413414405226,0.4426075871618453,3.3781829581748278e-15,0.7551919291338582,0.7551919291338582,0.14772585369604263
fragments_css,fragments,higher,higher,315,0.8895436576558654,0.8180498616625698,0.9254922935275702,0.8282697309990363,0.4353681579044475,5.312430825232808e-16,0.7547193243914555,0.7547193243914555,0.07149379599329564
fragments_pc_missing_peaks,fragments,lower,lower,287,19.669460750158482,40.075540274660234,20.0,40.0,-0.4005248989328292,1.7488398070937547e-12,0.2692175196850394,0.7307824803149606,-20.406079524501752
fragments_rawcos,fragments,higher,higher,317,0.8096925984640277,0.6668802889553495,0.8925892656520708,0.6181767144139066,0.3927942447021413,3.8784755526998263e-13,0.73001638001638,0.73001638001638,0.1428123095086783
fragments_obs_rel_int,fragments,higher,higher,287,0.001362289371213345,0.003441633186255686,0.0004837570495419,0.0002007520746887,0.35427555464836247,6.528381941577902e-10,0.7059055118110236,0.7059055118110236,-0.002079343815042341
diagnose_top_peaks,diagnose,higher,higher,314,0.6630434782608695,0.3076923076923077,1.0,0.0,0.35023459080015074,1.7164698421169906e-10,0.677675585284281,0.677675585284281,0.3553511705685618
fragments_s2n,fragments,higher,higher,287,4.932395296537628,27.45971027237216,1.7085299039180653,0.8821884431946705,0.2944111519686343,3.7965944337647654e-07,0.6711122047244095,0.6711122047244095,-22.527314975834532
fragments_abs_anchor_ppm,fragments,lower,lower,315,5.196492324894318,8.59381217983532,3.650892773228345,6.357175300336079,-0.28706200485986716,2.1705485551768585e-07,0.3320500082795165,0.6679499917204835,-3.397319854941002
diagnose_area_covered,diagnose,higher,higher,314,0.45206716271230857,0.29289745739797535,0.3793986262379338,0.2761146670743664,0.2669241361101589,1.599510207020869e-06,0.656438127090301,0.656438127090301,0.15916970531433322
fragments_missing_core,fragments,lower,lower,287,0.03646806212511737,0.12716366188266848,0.0,0.0,-0.3395781697751157,3.546282174801665e-09,0.343996062992126,0.6560039370078741,-0.0906955997575511
fragments_ppm_rmse,fragments,lower,lower,287,5.316964609783335,7.683693905455648,4.794140882856288,6.134590105351088,-0.2067736387311905,0.00042211065174673726,0.3798228346456693,0.6201771653543307,-2.3667292956723127
fragments_interference,fragments,lower,lower,287,0.3752507067115502,0.48014793553187346,0.37118660081401206,0.4929846330056313,-0.19502800193316916,0.0008952983098505479,0.3866633858267717,0.6133366141732284,-0.10489722882032326
diagnose_abs_anchor_ppm,diagnose,lower,lower,314,5.593671828042822,8.450595901242169,4.081005923311071,5.171653058845356,-0.1830374501784725,0.0011217518102644227,0.3927257525083612,0.6072742474916388,-2.8569240731993464
fragments_unexplained,fragments,lower,lower,287,0.46455181465862994,0.5447611495385328,0.46876227628868383,0.6072235471319192,-0.17836557136092268,0.0024223652971640136,0.39633366141732285,0.6036663385826772,-0.0802093348799029
fragments_match_count,fragments,higher,higher,287,5.81875,4.968503937007874,5.0,4.0,0.15949732724797913,0.00677678642994664,0.5918307086614173,0.5918307086614173,0.8502460629921256
fragments_mass_error_std,fragments,lower,lower,255,6.292530818877147,7.578065389137784,6.045678461162568,6.712174853093174,-0.132562038794044,0.034362499174487846,0.4233945519536546,0.5766054480463454,-1.285534570260637
diagnose_matched_peaks,diagnose,higher,higher,314,5.4728260869565215,4.8076923076923075,5.0,5.0,0.12124508207421399,0.03172730263913042,0.5703386287625418,0.5703386287625418,0.665133779264214
diagnose_isodec_accepted,diagnose,higher,higher,317,0.8810810810810811,0.7424242424242424,1.0,1.0,0.17922552317198276,0.0013534481976311692,0.5693284193284194,0.5693284193284194,0.13865683865683864
diagnose_ok,diagnose,higher,higher,317,0.8810810810810811,0.7424242424242424,1.0,1.0,0.17922552317198276,0.0013534481976311692,0.5693284193284194,0.5693284193284194,0.13865683865683864
