dataset,dataset_family,scan_key,re,re_index,ion_type,pos,charge,ion_type_is_c,base_ion_spec,truth,candidate_group,in_manual_annotation,in_fragments_selected,manual_row_count,manual_matched_rows,manual_selected_rows,manual_labels_json,manual_best_ion_score,manual_best_gof_confidence,manual_best_peaks_matched,manual_best_ion_corr_score,manual_min_abs_ppm_error,fragments_status,fragments_stage,fragments_label,fragments_variant_suffix,fragments_score,fragments_css,fragments_rawcos,fragments_coverage,fragments_match_count,fragments_fit_score,fragments_correlation,fragments_pc_missing_peaks,fragments_obs_rel_int,fragments_abs_anchor_ppm,fragments_raw_candidate,fragments_selected_final,diagnose_best_label,diagnose_reason,diagnose_ok,diagnose_isodec_accepted,diagnose_final_cosine,diagnose_isodec_css,diagnose_raw_cosine,diagnose_abs_anchor_ppm,diagnose_matched_peaks,diagnose_area_covered,diagnose_top_peaks
Q10R,Q10R,Q10R:RE0,RE0,0,b,36,2,0,b36^2+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,b36-OxidizedLoop^2+ | 2.9 ppm | score=0.604 | css=0.932,-OxidizedLoop,0.6042906801421454,0.9316926735437936,0.9316926735437938,1.0,9.0,0.8405480524814412,0.9248391003620892,0.0,0.0006299273858921162,2.8879482253710695,1,1,b36-OxidizedLoop^2+,ok,1,1,0.9316926735437936,0.9316926735437936,0.9316926735437938,2.8879482253710695,9.0,0.19779188702580366,1.0
Q10R,Q10R,Q10R:RE0,RE0,0,c,3,1,1,c3^1+,1,fn_missed,1,0,1,1,0,"[""c3 1+""]",6.494,99.97,3.0,3.689,3.42,trace_only,quality_gates,c3-Thiol^1+,-Thiol,0.7426791697180836,0.9822827398736911,0.9822827398736912,0.8027682064783728,1.0,0.775,0.994,66.7,0.00037655601659751037,8.808282569889506,0,0,c3^1+,failed_isodec_rules,0,0,,0.9822827398736911,0.9822827398736912,8.808282569889506,1.0,1.0,1.0
Q10R,Q10R,Q10R:RE0,RE0,0,c,6,1,1,c6^1+,1,tp_selected,1,1,1,1,0,"[""c6 1+""]",6.226,98.06,4.0,4.458,4.61,selected_final,accepted,c6-Persulfide^1+ | 7.4 ppm | score=0.752 | css=0.933 | %H=100 | %2H=0 | -mix,-Persulfide,0.7519051634445642,0.9328192172293283,0.597951329284388,0.8968121656216578,3.0,0.7972919251259935,0.859778886856329,25.0,0.0005033713692946058,7.394217661146599,1,1,c6^1+,ok,1,1,0.7395707400273109,0.7395707400273109,0.7442398178865031,5.142120445528602,2.0,0.3521510943857609,1.0
Q10R,Q10R,Q10R:RE0,RE0,0,c,7,1,1,c7^1+,1,tp_selected,1,1,1,1,0,"[""c7 1+""]",14.849,99.98,4.0,9.031,1.09,selected_final,accepted,c7-OxidizedLoop^1+ | 3.0 ppm | score=0.795 | css=0.978,-OxidizedLoop,0.7951193799123863,0.9784753727989828,0.9953047416931167,0.9713645424606036,4.0,0.9453122071984613,0.9919033066173678,20.0,0.0008226141078838174,2.9756943574832735,1,1,c7-OxidizedLoop^1+,ok,1,1,0.9784753727989828,0.9784753727989828,0.9953047416931167,2.9756943574832735,4.0,0.6800871435234965,1.0
Q10R,Q10R,Q10R:RE0,RE0,0,c,8,1,1,c8^1+,1,tp_selected,1,1,1,1,0,"[""c8 1+""]",5.005,98.34,2.0,3.752,10.96,selected_final,accepted,c8-OxidizedLoop^1+ | 1.7 ppm | score=0.723 | css=0.915,-OxidizedLoop,0.7227103760359397,0.9148323948929976,0.9818199163566955,0.959921665515957,3.0,0.8139353829719014,0.9677362461214554,40.0,0.00019522821576763483,1.7071939247353212,1,1,c8-OxidizedLoop^1+,ok,1,1,0.9148323948929976,0.9148323948929976,0.9818199163566955,1.7071939247353212,3.0,0.5593505606969229,1.0
Q10R,Q10R,Q10R:RE0,RE0,0,c,9,1,1,c9^1+,1,tp_selected,1,1,1,1,0,"[""c9 1+""]",8.208,99.87,3.0,6.455,5.24,selected_final,accepted,c9-OxidizedLoop^1+ | 7.4 ppm | score=0.660 | css=0.967,-OxidizedLoop,0.6598514642182265,0.9665694306735847,0.9665694306735848,0.9902952053657548,4.0,0.6794422256438847,0.9492291677874085,20.0,0.0005479771784232365,7.368661938952821,1,1,c9-OxidizedLoop^1+,ok,1,1,0.9665694306735847,0.9665694306735847,0.9665694306735848,7.368661938952821,4.0,0.6901950962567497,0.0
Q10R,Q10R,Q10R:RE0,RE0,0,c,10,1,1,c10^1+,1,tp_selected,1,1,1,1,0,"[""c10 1+""]",15.717,99.99,3.0,9.21,2.99,selected_final,accepted,c10-OxidizedLoop^1+ | 3.3 ppm | score=0.904 | css=0.995,-OxidizedLoop,0.9040959249781755,0.9949493962868485,0.9962219414157064,1.0,5.0,0.8953748423504514,0.9961567789432071,0.0,0.009989626556016597,3.275479634683007,1,1,c10-OxidizedLoop^1+,ok,1,1,0.9949493962868485,0.9949493962868485,0.9962219414157064,3.275479634683007,5.0,0.9138205744020799,1.0
Q10R,Q10R,Q10R:RE0,RE0,0,c,13,2,1,c13^2+,0,fp_selected,1,1,1,0,0,"[""c13 2+""]",0.8,0.0,1.0,0.0,9.41,selected_final,accepted,c13-OxidizedLoop^2+ | -2.0 ppm | score=0.524 | css=0.919,-OxidizedLoop,0.5239845293679373,0.9190689014599653,0.9190689014599653,0.7658587108298348,3.0,0.6910341350508746,0.8535518342382943,50.0,0.00020075207468879668,1.9719598204420876,1,1,c13-OxidizedLoop^2+,ok,1,1,0.9190689014599653,0.9190689014599653,0.9190689014599653,1.9719598204420876,3.0,0.31276416893907383,0.0
Q10R,Q10R,Q10R:RE0,RE0,0,c,14,2,1,c14^2+,1,tp_selected,1,1,2,2,0,"[""c14 2+""]",5.562,96.0,2.0,4.497,3.96,selected_final,accepted,c14-OxidizedLoop^2+ | -8.6 ppm | score=0.644 | css=0.945,-OxidizedLoop,0.6438678698141175,0.9445064379473145,0.9445064379473143,0.8996685562087039,3.0,0.656945299432197,0.9160014094309863,50.0,0.00028786307053941905,8.615399090764623,1,1,c14-OxidizedLoop^2+,ok,1,1,0.9445064379473145,0.9445064379473145,0.9445064379473143,8.615399090764623,3.0,0.5385571790815316,1.0
Q10R,Q10R,Q10R:RE0,RE0,0,c,20,1,1,c20^1+,0,manual_negative_only,1,0,1,0,0,"[""c20 1+""]",0.0,0.0,2.0,0.0,3.16,trace_only,quality_gates,c20-OxidizedLoop^1+,-OxidizedLoop,0.46695887717903334,0.8377678289582089,0.4209499783476566,0.9948062371962794,6.0,0.754,0.561,14.3,0.00023065352697095436,26.533060341554492,0,0,c20-OxidizedLoop^1+,ok,1,1,0.7479516311683686,0.7479516311683686,0.7165384457587334,12.681271614520663,5.0,0.10855290743550343,0.0
