re,re_index,ion_type,pos,charge,base_ion_spec,truth,candidate_group,in_manual_annotation,in_fragments_selected,manual_row_count,manual_matched_rows,manual_selected_rows,manual_labels_json,manual_best_ion_score,manual_best_gof_confidence,manual_best_peaks_matched,manual_best_ion_corr_score,manual_min_abs_ppm_error,fragments_status,fragments_stage,fragments_label,fragments_variant_suffix,fragments_score,fragments_css,fragments_rawcos,fragments_coverage,fragments_match_count,fragments_unexplained,fragments_missing_core,fragments_interference,fragments_s2n,fragments_ppm_rmse,fragments_fit_score,fragments_correlation,fragments_pc_missing_peaks,fragments_mass_error_std,fragments_obs_rel_int,fragments_abs_anchor_ppm,fragments_raw_candidate,fragments_selected_final,diagnose_best_label,diagnose_reason,diagnose_ok,diagnose_isodec_accepted,diagnose_final_cosine,diagnose_isodec_css,diagnose_raw_cosine,diagnose_abs_anchor_ppm,diagnose_matched_peaks,diagnose_area_covered,diagnose_top_peaks,diagnose_anchor_within_ppm
RE0,0,b,20,2,b20^2+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,b20-OxidizedLoop^2+ | -15.9 ppm | score=0.430 | css=0.876,-OxidizedLoop,0.4295475461053319,0.875769843983026,0.6638133358631345,0.8147584788522267,3.0,0.5346489338789575,0.0,0.4122347660500544,0.7883944573406889,23.871130980446043,0.586175974315266,0.7961831506225903,57.14285714285714,22.931856535403988,0.00021685684647302904,15.906516965138964,1,1,b20-OxidizedLoop^2+,ok,1,1,0.875769843983026,0.875769843983026,0.6638133358631345,15.906516965138964,3.0,0.5758467186428845,0.0,1
RE0,0,b,29,1,b29^1+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,b29-OxidizedLoop^1+ | -27.7 ppm | score=0.167 | css=0.706,-OxidizedLoop,0.16670248561573706,0.7058383863614279,0.7058383863614278,0.43756809791582985,2.0,0.5776090411442698,0.3639549439204842,0.7750822755054066,0.4183188935623865,17.34302321708356,0.23177292160128637,0.6186658731380988,75.0,14.028113458972008,4.2323651452282155e-05,27.67419821500857,1,1,b29-OxidizedLoop^1+,ok,1,1,0.7058383863614279,0.7058383863614279,0.7058383863614278,27.67419821500857,2.0,0.466405949210558,0.0,1
RE0,0,b,36,2,b36^2+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,b36-OxidizedLoop^2+ | 2.9 ppm | score=0.591 | css=0.923,-OxidizedLoop,0.5907013887176422,0.9234785048039633,0.9316926735437938,0.9627522283862444,7.0,0.5806926727850725,0.0,0.7286904820637167,2.3840881978849566,14.208902322616641,0.7799425469602179,0.8010732858215949,22.22222222222222,12.063102245933493,0.0006299273858921162,2.8879482253710695,1,1,b36-OxidizedLoop^2+,ok,1,1,0.9316926735437936,0.9316926735437936,0.9316926735437938,2.8879482253710695,9.0,0.19779188702580366,1.0,1
RE0,0,c,3,1,c3^1+,1,fn_missed,1,0,1,1,0,"[""c3 1+""]",6.494,99.97,3.0,3.689,3.42,trace_only,isodec_rules,c3-ThiylRadical^1+,-ThiylRadical,,0.9823098231854418,0.6601602084166207,,,,,,,,,,,,,10.319941536851687,0,0,c3^1+,failed_isodec_rules,0,0,,0.9822827398736911,0.9822827398736912,8.808282569889506,1.0,1.0,1.0,1
RE0,0,c,6,1,c6^1+,1,tp_selected,1,1,1,1,0,"[""c6 1+""]",6.226,98.06,4.0,4.458,4.61,selected_final,accepted,c6-Persulfide^1+ | 7.4 ppm | score=0.752 | css=0.933 | %H=100 | %2H=0 | -mix,-Persulfide,0.7519051634445642,0.9328192172293283,0.597951329284388,0.8968121656216578,3.0,0.18456655336199712,0.10588740764307414,0.13424631342463134,2.172349124684124,3.396077603452497,0.7972919251259935,0.859778886856329,25.0,5.001807497554059,0.0005033713692946058,7.394217661146599,1,1,c6^1+,ok,1,1,0.7395707400273109,0.7395707400273109,0.7442398178865031,5.142120445528602,2.0,0.3521510943857609,1.0,1
RE0,0,c,7,1,c7^1+,1,tp_selected,1,1,1,1,0,"[""c7 1+""]",14.849,99.98,4.0,9.031,1.09,selected_final,accepted,c7-OxidizedLoop^1+ | 3.0 ppm | score=0.795 | css=0.978,-OxidizedLoop,0.7951193799123863,0.9784753727989828,0.9953047416931167,0.9713645424606036,4.0,0.27968161802497615,0.0,0.16779008184882038,3.4101581329276947,4.631731776328884,0.9453122071984613,0.9919033066173678,20.0,5.618278142818553,0.0008226141078838174,2.9756943574832735,1,1,c7-OxidizedLoop^1+,ok,1,1,0.9784753727989828,0.9784753727989828,0.9953047416931167,2.9756943574832735,4.0,0.6800871435234965,1.0,1
RE0,0,c,8,1,c8^1+,1,tp_selected,1,1,1,1,0,"[""c8 1+""]",5.005,98.34,2.0,3.752,10.96,selected_final,accepted,c8-OxidizedLoop^1+ | 1.7 ppm | score=0.723 | css=0.915,-OxidizedLoop,0.7227103760359397,0.9148323948929976,0.9818199163566955,0.959921665515957,3.0,0.3238724181537166,0.0,0.19062570082978259,0.7811215275358565,3.618783432037592,0.8139353829719014,0.9677362461214554,40.0,4.107701952204192,0.00019522821576763483,1.7071939247353212,1,1,c8-OxidizedLoop^1+,ok,1,1,0.9148323948929976,0.9148323948929976,0.9818199163566955,1.7071939247353212,3.0,0.5593505606969229,1.0,1
RE0,0,c,9,1,c9^1+,1,tp_selected,1,1,1,1,0,"[""c9 1+""]",8.208,99.87,3.0,6.455,5.24,selected_final,accepted,c9-OxidizedLoop^1+ | 7.4 ppm | score=0.660 | css=0.967,-OxidizedLoop,0.6598514642182265,0.9665694306735847,0.9665694306735848,0.9902952053657548,4.0,0.46887306876704027,0.0,0.46887306876704027,2.1019626361047736,5.600201228458715,0.6794422256438847,0.9492291677874085,20.0,10.52510951280285,0.0005479771784232365,7.368661938952821,1,1,c9-OxidizedLoop^1+,ok,1,1,0.9665694306735847,0.9665694306735847,0.9665694306735848,7.368661938952821,4.0,0.6901950962567497,0.0,1
RE0,0,c,10,1,c10^1+,1,tp_selected,1,1,1,1,0,"[""c10 1+""]",15.717,99.99,3.0,9.21,2.99,selected_final,accepted,c10-OxidizedLoop^1+ | 3.3 ppm | score=0.904 | css=0.995,-OxidizedLoop,0.9040959249781755,0.9949493962868485,0.9962219414157064,1.0,5.0,0.1761347623884778,0.0,0.10566762205700786,36.51472293889258,2.201040090985909,0.8953748423504514,0.9961567789432071,0.0,2.5596317632300822,0.009989626556016597,3.275479634683007,1,1,c10-OxidizedLoop^1+,ok,1,1,0.9949493962868485,0.9949493962868485,0.9962219414157064,3.275479634683007,5.0,0.9138205744020799,1.0,1
RE0,0,c,11,1,c11^1+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c11-OxidizedLoop^1+ | -25.7 ppm | score=0.535 | css=0.855 | %H=100 | %2H=0 | +mix,-OxidizedLoop,0.5351013600763926,0.8547532815082032,0.4274852757723066,1.0,5.0,0.6252407026004254,0.0,0.5567855516169278,0.7261893506459518,18.657662192177515,0.7331312935638576,0.6159064680935912,0.0,11.360413352981357,0.00020474585062240662,25.680491788337356,1,1,c11-OxidizedLoop^1+,failed_isodec_rules,0,0,,0.5188528124451599,0.5188528124451599,22.428482192668028,4.0,0.1399542774594951,0.0,1
